OrderID,OrderDate,Product,Price,ExpirationDate,LeadTime,StockOnHand,Count,CapitalRecord,WeeklySales,OrderToReceiveTime,HoldingCost,Seasonality,PromotionActive,DaysUntilExpiration,DailySales,InventoryTurnoverRatio,StockCoverDays,TotalInventoryCost,OptimalOrderTime,OptimalOrderDate,Month,DayOfWeek,IsWeekend,DaysUntilOptimalOrder
1,2023-01-01,Cheese,4.190201565,3/2/2023,2.771113352815184,536.5056040305692,46,437086.107,636.5459690977125,3.572171120216712,1.1537373045372044,Winter,0,60,46.57,0.67,10.5,293.4,5,2023-01-06,1,6,True,5
2,2023-01-02,Milk,1.657673034,1/16/2023,3.361043638468755,437.7984013439153,105,955642.8758,520.7698856044544,0.0,0.0399631332039139,Winter,0,14,105.57,1.67,4.2,110.75,0,2023-01-02,1,0,False,0
3,2023-01-03,Tomatoes,3.591384935,1/13/2023,5.084586081055494,262.44305424234835,105,758794.5476,622.0419704979823,4.399421541790033,0.255293352686339,Winter,0,10,105.0,2.17,3.22,101.4,0,2023-01-03,1,1,False,0
4,2023-01-04,Bananas,2.204012775,1/11/2023,8.96785996315652,1133.0528078588509,119,638792.6358,937.154966171726,5.765245862717748,0.5048310710819333,Winter,0,7,119.14,0.78,8.96,160.05,2,2023-01-06,1,2,False,2
5,2023-01-05,Cereal,5.988583451,7/4/2023,3.8246464237616387,799.9441867350148,77,240416.7764,504.3016665758575,5.0691300796501455,1.211344617531818,Winter,0,180,77.0,0.57,12.31,474.0,5,2023-01-10,1,3,False,5
6,2023-01-06,Beef,11.67328065,1/13/2023,2.2822096985949054,937.0765633296843,50,240395.0683,542.9709983617938,3.732534941885812,1.193447805345023,Winter,0,7,50.14,0.4,17.37,1045.2,11,2023-01-17,1,4,False,11
7,2023-01-07,Yogurt,4.952707766,1/28/2023,3.10342017781358,760.2750670357268,144,152275.251,1131.3932439957462,3.247730118507776,0.6237320273401423,Winter,1,21,144.0,1.23,5.7,287.35,0,2023-01-07,1,5,True,0
8,2023-01-08,Chicken,8.730553191,1/13/2023,2.2178451793900185,845.6688042382186,48,879558.5312,262.4134689149904,4.751329404174317,1.1093620294307744,Winter,0,5,48.43,0.5,13.98,541.6,9,2023-01-17,1,6,True,9
9,2023-01-09,Rice,3.876448303,1/9/2024,10.313357569053506,674.4794301885566,50,641003.5106,239.8451878892893,2.91610355452668,0.4056820039956906,Winter,0,365,50.57,0.56,12.44,251.6,3,2023-01-12,1,0,False,3
10,2023-01-10,Apples,2.289767363,1/24/2023,4.345798840545384,594.9570019198704,143,737265.32,1012.2661811619089,6.562947212332121,0.9483567983140556,Winter,0,14,143.0,1.73,4.05,115.8,0,2023-01-10,1,1,False,0
11,2023-01-11,Juice,5.051364618,2/10/2023,2.647903494692672,251.4741872553019,81,118526.0449,441.4131597837283,7.004618201343214,0.5565251584260759,Winter,0,30,81.14,1.3,5.37,174.4,0,2023-01-11,1,2,False,0
12,2023-01-12,Juice,3.034892411,2/11/2023,8.38220229350068,323.17420971495346,105,972918.8669,943.3430225160936,6.349633522708453,0.4338775269644725,Winter,0,30,105.57,2.08,3.36,142.0,0,2023-01-12,1,3,False,0
13,2023-01-13,Cheese,6.966651918,3/14/2023,4.834131124509328,152.89721227174596,70,849198.3767,460.6634794087969,5.324744467416352,0.1984650521054868,Winter,0,60,70.29,1.97,3.56,150.0,0,2023-01-13,1,4,False,0
14,2023-01-14,Juice,3.522127429,2/13/2023,1.6372752702668198,937.7760941751102,93,291105.1996,1012.5951961410491,5.111146158969146,0.6286243011237238,Winter,0,30,93.86,0.78,8.92,334.8,1,2023-01-15,1,5,True,1
15,2023-01-15,Bread,3.833865472,1/22/2023,2.817976059873567,698.9293056631301,79,263642.4705,644.0600434327272,2.0575603419303503,0.0,Winter,0,7,79.57,0.75,9.35,223.2,5,2023-01-20,1,6,True,5
16,2023-01-16,Potatoes,2.281134664,2/15/2023,0.9379695096991069,616.4968098092265,113,265064.0589,776.6164178522722,2.5025285981144503,0.0,Winter,1,30,113.29,1.19,5.87,166.25,0,2023-01-16,1,0,False,0
17,2023-01-17,Apples,0.59577126,1/31/2023,7.921716773504059,427.12126867338696,100,373818.0187,604.3631709741137,12.819651559885408,0.0,Winter,0,14,100.43,1.27,5.5,110.4,0,2023-01-17,1,1,False,0
18,2023-01-18,Juice,4.055911971,2/17/2023,2.70211057458962,447.32693373338213,90,572280.7885,569.00874592819,6.408264013460039,0.1966884027112583,Winter,1,30,90.71,1.4,4.98,180.8,0,2023-01-18,1,2,False,0
19,2023-01-19,Rice,4.524371364,1/19/2024,7.293031128824672,309.3439474959968,43,488750.5168,403.8955244939912,11.609567402789986,0.0,Winter,0,365,43.14,0.83,8.39,144.8,0,2023-01-19,1,3,False,0
20,2023-01-20,Bananas,2.852936626,1/27/2023,-0.4123037013352915,1271.1973371130432,122,362106.2262,964.1504135141157,2.542265857944771,0.4579018043352916,Winter,0,7,122.0,0.73,9.61,175.95,3,2023-01-23,1,4,False,3
21,2023-01-21,Yogurt,4.672323588,2/11/2023,2.465648768921554,1110.803402496096,124,650667.6053,835.7458855148072,5.7880084522310895,0.8822879431419631,Winter,0,21,124.14,0.83,8.47,367.85,3,2023-01-24,1,5,True,3
22,2023-01-22,Rice,4.884517469,1/22/2024,5.735398497327425,907.3035945140974,49,225544.4746,236.56361643831488,2.3799172716854797,0.4596970936420037,Winter,0,365,49.29,0.37,18.81,370.8,8,2023-01-30,1,6,True,8
23,2023-01-23,Chicken,9.640384372,1/28/2023,3.197672541677736,809.715339680428,47,362930.1837,424.81630726711415,3.985181429750949,1.7651546134348843,Winter,0,5,47.14,0.38,18.62,702.4,15,2023-02-07,1,0,False,15
24,2023-01-24,Tomatoes,2.593183926,2/3/2023,4.27991376891754,727.3051595474351,59,429725.659,463.773051109175,3.138082070336482,0.8138088484661898,Winter,0,10,59.71,0.5,13.92,249.3,8,2023-02-01,1,1,False,8
25,2023-01-25,Bread,2.818079148,2/1/2023,2.468492819309393,656.9892337806259,130,510462.9858,850.789606003714,1.946823481780816,0.2016013794440678,Winter,0,7,130.29,1.18,5.93,231.6,2,2023-01-27,1,2,False,2
26,2023-01-26,Chicken,8.562192635,1/31/2023,2.6714210624518895,770.0979632471922,79,806658.3653,579.1232583116315,2.019552683068023,0.3447297689426578,Winter,0,5,79.57,0.87,8.07,513.6,4,2023-01-30,1,3,False,4
27,2023-01-27,Soda,3.200884321,7/26/2023,8.193109520192115,651.8118539583294,119,279706.4039,625.1545019245066,8.631473279706988,0.0304675933555018,Winter,0,180,119.86,1.49,4.7,168.9,0,2023-01-27,1,4,False,0
28,2023-01-28,Bread,1.66607046,2/4/2023,4.017834074827977,569.6053441520774,144,562810.9946,949.4415152464052,6.617596592579685,0.0400282823699263,Winter,0,7,144.0,2.27,3.08,133.2,0,2023-01-28,1,5,True,0
